Province/State,Country/Region,Lat,Long,5/1/20
,Honduras,15.2,-86.2419,629
,Hungary,47.1625,19.5033,3102
,Iceland,64.9631,-19.0208,1833
,India,21,78,36620
,Indonesia,-0.7893,113.9213,10549
,Iran,32,53,95266
,Iraq,33,44,1996
,Ireland,53.1424,-7.6921,23825
,Israel,31,35,17713
,Italy,43,12,214216
,Jamaica,18.1096,-77.2975,402
,Japan,36,138,16872
,Jordan,31.24,36.51,473
,Kazakhstan,48.0196,66.9237,3718
,Kenya,-0.0236,37.9062,431
,"Korea, South",36,128,11000
,Kuwait,29.5,47.75,3540
,Kyrgyzstan,41.2044,74.7661,830
,Latvia,56.8796,24.6032,897
,Lebanon,33.8547,35.8623,727
,Liberia,6.4281,-9.4295,101
,Liechtenstein,47.14,9.55,81
,Lithuania,55.1694,23.8813,1642
,Luxembourg,49.8153,6.1296,3872
,Madagascar,-18.7669,46.8691,121
,Malaysia,2.5,112.5,6131
,Maldives,3.2028,73.2207,235
,Malta,35.9375,14.3754,466
,Mauritania,21.0079,10.9408,7
,Mauritius,-20.2,57.5,340
,Mexico,23.6345,-102.5528,35982
,Moldova,47.4116,28.3699,3997
,Monaco,43.7333,7.4167,94
,Mongolia,46.8625,103.8467,45
,Montenegro,42.5,19.3,327
,Morocco,31.7917,-7.0926,5012
,Namibia,-22.9576,18.4904,16
,Nepal,28.1667,84.25,82
Aruba,Netherlands,12.5186,-70.0358,107
Curacao,Netherlands,12.1696,-68.99,14
Sint Maarten,Netherlands,18.0425,-63.0548,94
,Netherlands,52.1326,5.2913,43124
,New Zealand,-40.9006,174.886,1501
,Nicaragua,12.8654,-85.2072,14
,Niger,17.6078,8.0817,735
,Nigeria,9.082,8.6753,1875
,North Macedonia,41.6086,21.7453,1577
,Norway,60.472,8.4689,8097
,Oman,21,57,2501
,Pakistan,30.3753,69.3451,18590
,Panama,8.538,-80.7821,7014
,Papua New Guinea,-6.315,143.9555,10
,Paraguay,-23.4425,-58.4438,265
,Peru,-9.19,-75.0152,33799
,Philippines,13,122,8510
,Poland,51.9194,19.1451,13300
,Portugal,39.3999,-8.2245,26653
,Qatar,25.3548,51.1839,12855
,Romania,45.9432,24.9668,13232
,Russia,60,90,93490
,Rwanda,-1.9403,29.8739,173
,Saint Lucia,13.9094,-60.9789,15
,Saint Vincent and the Grenadines,12.9843,-61.2872,16
,San Marino,43.9424,12.4578,615
,Saudi Arabia,24,45,23194
,Senegal,14.4974,-14.4524,739
,Serbia,44.0165,21.0059,6630
,Seychelles,-4.6796,55.492,11
,Singapore,1.2833,103.8333,19504
,Slovakia,48.669,19.699,1757
,Slovenia,46.1512,14.9955,1462
,Somalia,5.1521,46.1996,764
,South Africa,-30.5595,22.9375,6038
,Spain,40,-4,250746
,Sri Lanka,7,81,570
,Sudan,12.8628,30.2176,558
,Suriname,3.9193,-56.0278,10
,Sweden,63,16,22540
,Switzerland,46.8182,8.2275,30346
,Taiwan*,23.7,121,437
,Tanzania,-6.369,34.8888,404
,Thailand,15,101,2943
,Togo,8.6195,0.8248,107
,Trinidad and Tobago,10.6918,-61.2225,115
,Tunisia,34,9,1036
,Turkey,38.9637,35.2433,132023
,Uganda,1,32,146
,Ukraine,48.3794,31.1656,11794
,United Arab Emirates,24,54,12833
Bermuda,United Kingdom,32.3078,-64.7505,126
Cayman Islands,United Kingdom,19.3133,-81.2546,66
Channel Islands,United Kingdom,49.3723,-2.3644,642
Gibraltar,United Kingdom,36.1408,-5.3536,137
Isle of Man,United Kingdom,54.2361,-4.5481,307
Montserrat,United Kingdom,16.7425,-62.1874,11
,United Kingdom,55.3781,-3.436,176319
,Uruguay,-32.5228,-55.7658,635
,US,37.0902,-95.7129,1099722
,Uzbekistan,41.3775,64.5853,2094
,Venezuela,6.4238,-66.5897,451
,Vietnam,16,108,268
,Zambia,-15.4167,28.2833,104
,Zimbabwe,-20,30,28
Diamond Princess,Canada,0,0,0
,Dominica,15.415,-61.371,16
,Grenada,12.1165,-61.679,18
,Mozambique,-18.665695,35.529562,63
,Syria,34.802075,38.996815,42
,Timor-Leste,-8.874217,125.727539,23
,Belize,13.1939,-59.5432,18
Recovered,Canada,0,0,0
,Laos,19.85627,102.495496,19
,Libya,26.3351,17.228331,80
,West Bank and Gaza,31.9522,35.2332,613
,Guinea-Bissau,11.8037,-15.1804,50
,Mali,17.570692,-3.996166,506
,Saint Kitts and Nevis,17.357822,-62.782998,15
Northwest Territories,Canada,64.8255,-124.8457,5
Yukon,Canada,64.2823,-135,11
,Kosovo,42.602636,20.902977,510
,Burma,21.9162,95.956,199
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,5
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,11
,MS Zaandam,0,0,9
,Botswana,-22.3285,24.6849,28
,Burundi,-3.3731,29.9189,14
,Sierra Leone,8.460555,-11.779889,113
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,5
,Malawi,-13.254308,34.301525,113
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,16
Saint Pierre and Miquelon,France,46.8852,-56.3159,1
,South Sudan,6.877,31.307,7
,Western Sahara,24.2155,-12.8858,6
,Sao Tome and Principe,0.18636,6.613081,4
,Yemen,15.552727,48.516388,1
