Province/State,Country/Region,Lat,Long,5/1/20
Shandong,China,36.3427,118.1498,1228.0
Shanghai,China,31.201999999999998,121.4491,23.0
Shanxi,China,37.5777,112.2922,76.0
Sichuan,China,30.6171,102.7103,550.0
Tianjin,China,39.3054,117.323,570.0
Tibet,China,31.6927,88.0924,1141.0
Xinjiang,China,41.1129,85.2401,665.0
Yunnan,China,24.974,101.48700000000001,471.0
Zhejiang,China,29.1832,120.0934,100.0
nan,Colombia,4.5709,-74.2973,4035.0
nan,Congo (Brazzaville),-4.0383,21.7587,219.0
nan,Congo (Kinshasa),-4.0383,21.7587,11.0
nan,Costa Rica,9.7489,-83.7534,9098.0
nan,Cote d'Ivoire,7.54,-5.5471,452.0
nan,Croatia,45.1,15.2,24.0
nan,Diamond Princess,0.0,0.0,1159.0
nan,Cuba,22.0,-80.0,1679.0
nan,Cyprus,35.1264,33.4299,1205.0
nan,Czechia,49.8175,15.472999999999999,74.0
Faroe Islands,Denmark,61.8926,-6.9118,7.0
Greenland,Denmark,71.7069,-42.6043,24.0
nan,Denmark,56.2639,9.5018,319.0
nan,Djibouti,11.8251,42.5903,8.0
nan,Dominican Republic,18.7357,-70.1627,18.0
nan,Ecuador,-1.8312,-78.1834,310.0
nan,Egypt,26.0,30.0,2663.0
nan,El Salvador,13.7942,-88.8965,114.0
nan,Equatorial Guinea,1.5,10.0,249.0
nan,Eritrea,15.1794,39.7823,83.0
nan,Estonia,58.5953,25.0136,66.0
nan,Eswatini,-26.5225,31.4659,182.0
nan,Ethiopia,9.145,40.4897,17.0
nan,Fiji,-17.7134,178.065,236.0
nan,Finland,64.0,26.0,6.0
French Guiana,France,3.9339,-53.1258,19.0
French Polynesia,France,-17.6797,149.4068,61417.0
Guadeloupe,France,16.25,-61.5833,646.0
Mayotte,France,-12.8275,45.1662,132.0
New Caledonia,France,-20.9043,165.618,57.0
Reunion,France,-21.1351,55.2471,148361.0
Saint Barthelemy,France,17.9,-62.8333,-24.0
St Martin,France,18.0708,-63.0501,44.0
Martinique,France,14.6415,-61.0242,695.0
nan,France,46.2276,2.2137,9.0
nan,Gabon,-0.8037,11.6094,437.0
nan,Gambia,13.4432,-15.3101,45.0
nan,Georgia,42.3154,43.3569,9.0
nan,Germany,51.0,9.0,1.0
nan,Ghana,7.9465,-1.0232,2.0
nan,Greece,39.0742,21.8243,49.0
nan,Guatemala,15.7835,-90.2308,472.0
nan,Guinea,9.9456,-9.6966,1932.0
nan,Guyana,5.0,-58.75,15011.0
nan,Haiti,18.9712,-72.2852,1692.0
nan,Holy See,41.9029,12.4534,62028.0
nan,Honduras,15.2,-86.2419,1133.0
nan,Hungary,47.1625,19.5033,88064240.0
nan,Iceland,64.9631,-19.0208,12607.0
nan,India,21.0,78.0,86736.0
nan,Indonesia,-0.7893,113.9213,202.0
nan,Iran,32.0,53.0,1850.0
nan,Iraq,33.0,44.0,524.0
nan,Ireland,53.1424,-7.6921,966.0
nan,Israel,31.0,35.0,159.0
nan,Italy,43.0,12.0,10262.0
nan,Jamaica,18.1096,-77.2975,658.0
nan,Japan,36.0,138.0,450.0
nan,Jordan,31.24,36.51,129.0
nan,Kazakhstan,48.0196,66.9237,122.0
nan,Kenya,-0.0236,37.9062,149.0
nan,"Korea, South",36.0,128.0,26.0
nan,Kuwait,29.5,47.75,59.0
nan,Kyrgyzstan,41.2044,74.7661,631.0
nan,Latvia,56.8796,24.6032,774.0
nan,Lebanon,33.8547,35.8623,155.0
nan,Liberia,6.4281,-9.4295,4571.0
nan,Liechtenstein,47.14,9.55,16.0
nan,Lithuania,55.1694,23.8813,205.0
nan,Luxembourg,49.8153,6.1296,522.0
nan,Madagascar,-18.7669,46.8691,18.0
nan,Malaysia,2.5,112.5,299.0
nan,Maldives,3.2028,73.2207,3705.0
nan,Malta,35.9375,14.3754,949.0
nan,Mauritania,21.0079,10.9408,134.0
nan,Mauritius,-20.2,57.5,27.0
nan,Mexico,23.6345,-102.5528,387.0
nan,Moldova,47.4116,28.3699,768.0
nan,Monaco,43.7333,7.4167,13.0
nan,Mongolia,46.8625,103.8467,8.0
nan,Montenegro,42.5,19.3,49.0
nan,Morocco,31.7917,-7.0926,101.0
nan,Namibia,-22.9576,18.4904,12.0
nan,Nepal,28.1667,84.25,50.0
Aruba,Netherlands,12.5186,-70.0358,387.0
Curacao,Netherlands,12.1696,-68.99,1502.0
Sint Maarten,Netherlands,18.0425,-63.0548,5.0
nan,Netherlands,52.1326,5.2913,1007.0
nan,New Zealand,-40.9006,174.886,229.0
nan,Nicaragua,12.8654,-85.2072,418.0
nan,Niger,17.6078,8.0817,35.0
nan,Nigeria,9.082,8.6753,379.0
nan,North Macedonia,41.6086,21.7453,3700.0
nan,Norway,60.472,8.4689,673.0
nan,Oman,21.0,57.0,0.0
nan,Pakistan,30.3753,69.3451,164.0
nan,Panama,8.538,-80.7821,10154.0
nan,Papua New Guinea,-6.315,143.9555,859.0
nan,Paraguay,-23.4425,-58.4438,3315.0
nan,Peru,-9.19,-75.0152,2900.0
nan,Philippines,13.0,122.0,1207.0
nan,Poland,51.9194,19.1451,4615.0
nan,Portugal,39.3999,-8.2245,9636.0
nan,Qatar,25.3548,51.1839,80.0
nan,Romania,45.9432,24.9668,19.0
nan,Russia,60.0,90.0,22.0
nan,Rwanda,-1.9403,29.8739,5.0
nan,Saint Lucia,13.9094,-60.9789,63.0
nan,Saint Vincent and the Grenadines,12.9843,-61.2872,2854.0
nan,San Marino,43.9424,12.4578,247.0
nan,Saudi Arabia,24.0,45.0,756.0
nan,Senegal,14.4974,-14.4524,-5.0
nan,Serbia,44.0165,21.0059,1229.0
nan,Seychelles,-4.6796,55.492,393.0
nan,Singapore,1.2833,103.8333,252.0
nan,Slovakia,48.669,19.699,14.0
nan,Slovenia,46.1512,14.9955,2549.0
nan,Somalia,5.1521,46.1996,113931.0
nan,South Africa,-30.5595,22.9375,126.0
nan,Spain,40.0,-4.0,15.0
nan,Sri Lanka,7.0,81.0,6.0
nan,Sudan,12.8628,30.2176,820.0
nan,Suriname,3.9193,-56.0278,28837.0
nan,Sweden,63.0,16.0,6.0
nan,Switzerland,46.8182,8.2275,391.0
nan,Taiwan*,23.7,121.0,35.0
nan,Tanzania,-6.369,34.8888,4483.0
nan,Thailand,15.0,101.0,1.0
nan,Togo,8.6195,0.8248,79.0
nan,Trinidad and Tobago,10.6918,-61.2225,84.0
nan,Tunisia,34.0,9.0,817.0
nan,Turkey,38.9637,35.2433,59390.0
nan,Uganda,1.0,32.0,217.0
nan,Ukraine,48.3794,31.1656,1337.0
nan,United Arab Emirates,24.0,54.0,2110.0
Bermuda,United Kingdom,32.3078,-64.7505,45.0
Cayman Islands,United Kingdom,19.3133,-81.2546,8.0
Channel Islands,United Kingdom,49.3723,-2.3644,1939.0
Gibraltar,United Kingdom,36.1408,-5.3536,184.0
Isle of Man,United Kingdom,54.2361,-4.5481,325.0
Montserrat,United Kingdom,16.7425,-62.1874,10.0
nan,United Kingdom,55.3781,-3.4360000000000004,-410.0
nan,Uruguay,-32.5228,-55.7658,289.0
nan,US,37.0902,-95.7129,126145.0
nan,Uzbekistan,41.3775,64.5853,2055.0
nan,Venezuela,6.4238,-66.5897,169.0
nan,Vietnam,16.0,108.0,299.0
nan,Zambia,-15.4167,28.2833,39.0
nan,Zimbabwe,-20.0,30.0,13.0
Diamond Princess,Canada,0.0,0.0,39.0
nan,Dominica,15.415,-61.371,22.0
nan,Grenada,12.1165,-61.678999999999995,122.0
nan,Mozambique,-18.665695,35.529562,15.0
nan,Syria,34.802075,38.99681500000001,6.0
nan,Timor-Leste,-8.874217,125.727539,9.0
nan,Belize,13.1939,-59.5432,8.0
Recovered,Canada,0.0,0.0,0.0
nan,Laos,19.856270000000002,102.495496,0.0
nan,Libya,26.3351,17.228331,8.0
nan,West Bank and Gaza,31.9522,35.2332,47.0
nan,Guinea-Bissau,11.8037,-15.1804,0.0
nan,Mali,17.570692,-3.996166000000001,3.0
nan,Saint Kitts and Nevis,17.357822,-62.782998,165.0
Northwest Territories,Canada,64.8255,-124.8457,0.0
Yukon,Canada,64.2823,-135.0,0.0
nan,Kosovo,42.602636,20.902977,11.0
nan,Burma,21.9162,95.956,0.0
Anguilla,United Kingdom,18.2206,-63.0686,-0.0
