Province/State,Country/Region,Lat,Long,5/1/20
Hunan,China,27.6104,111.7088,1012.0
Inner Mongolia,China,44.0935,113.9448,228.0
Jiangsu,China,32.9711,119.455,648.0
Jiangxi,China,27.614,115.7221,935.0
Jilin,China,43.6661,126.1923,105.0
Liaoning,China,41.2956,122.6085,150.0
Macau,China,22.1667,113.55,45.0
Ningxia,China,37.2692,106.1655,75.0
Qinghai,China,35.7452,95.9956,18.0
Shaanxi,China,35.1917,108.8701,266.0
Shandong,China,36.3427,118.1498,817.0
Shanghai,China,31.201999999999998,121.4491,628.0
Shanxi,China,37.5777,112.2922,187.0
Sichuan,China,30.6171,102.7103,555.0
Tianjin,China,39.3054,117.323,179.0
Tibet,China,31.6927,88.0924,1.0
Xinjiang,China,41.1129,85.2401,76.0
Yunnan,China,24.974,101.48700000000001,184.0
Zhejiang,China,29.1832,120.0934,1268.0
nan,Colombia,4.5709,-74.2973,6737.0
nan,Congo (Brazzaville),-4.0383,21.7587,243.0
nan,Congo (Kinshasa),-4.0383,21.7587,395.0
nan,Costa Rica,9.7489,-83.7534,715.0
nan,Cote d'Ivoire,7.54,-5.5471,1490.0
nan,Croatia,45.1,15.2,2294.0
nan,Diamond Princess,0.0,0.0,701.0
nan,Cuba,22.0,-80.0,1333.0
nan,Cyprus,35.1264,33.4299,789.0
nan,Czechia,49.8175,15.472999999999999,7922.0
Faroe Islands,Denmark,61.8926,-6.9118,178.0
Greenland,Denmark,71.7069,-42.6043,11.0
nan,Denmark,56.2639,9.5018,9457.0
nan,Djibouti,11.8251,42.5903,1236.0
nan,Dominican Republic,18.7357,-70.1627,8232.0
nan,Ecuador,-1.8312,-78.1834,16157.0
nan,Egypt,26.0,30.0,5752.0
nan,El Salvador,13.7942,-88.8965,323.0
nan,Equatorial Guinea,1.5,10.0,146.0
nan,Eritrea,15.1794,39.7823,39.0
nan,Estonia,58.5953,25.0136,1733.0
nan,Eswatini,-26.5225,31.4659,88.0
nan,Ethiopia,9.145,40.4897,132.0
nan,Fiji,-17.7134,178.065,18.0
nan,Finland,64.0,26.0,5414.0
French Guiana,France,3.9339,-53.1258,126.0
French Polynesia,France,-17.6797,149.4068,58.0
Guadeloupe,France,16.25,-61.5833,148.0
Mayotte,France,-12.8275,45.1662,433.0
New Caledonia,France,-20.9043,165.618,18.0
Reunion,France,-21.1351,55.2471,414.0
Saint Barthelemy,France,17.9,-62.8333,6.0
St Martin,France,18.0708,-63.0501,36.0
Martinique,France,14.6415,-61.0242,179.0
nan,France,46.2276,2.2137,190832.0
nan,Gabon,-0.8037,11.6094,425.0
nan,Gambia,13.4432,-15.3101,12.0
nan,Georgia,42.3154,43.3569,499.0
nan,Germany,51.0,9.0,187328.0
nan,Ghana,7.9465,-1.0232,2678.0
nan,Greece,39.0742,21.8243,3010.0
nan,Guatemala,15.7835,-90.2308,607.0
nan,Guinea,9.9456,-9.6966,1600.0
nan,Guyana,5.0,-58.75,92.0
nan,Haiti,18.9712,-72.2852,105.0
nan,Holy See,41.9029,12.4534,9.0
nan,Honduras,15.2,-86.2419,587.0
nan,Hungary,47.1625,19.5033,2877.0
nan,Iceland,64.9631,-19.0208,1817.0
nan,India,21.0,78.0,42970.0
nan,Indonesia,-0.7893,113.9213,10776.0
nan,Iran,32.0,53.0,104879.0
nan,Iraq,33.0,44.0,1829.0
nan,Ireland,53.1424,-7.6921,26729.0
nan,Israel,31.0,35.0,17867.0
nan,Italy,43.0,12.0,229434.0
nan,Jamaica,18.1096,-77.2975,319.0
nan,Japan,36.0,138.0,17696.0
nan,Jordan,31.24,36.51,523.0
nan,Kazakhstan,48.0196,66.9237,3502.0
nan,Kenya,-0.0236,37.9062,469.0
nan,"Korea, South",36.0,128.0,10803.0
nan,Kuwait,29.5,47.75,3650.0
nan,Kyrgyzstan,41.2044,74.7661,778.0
nan,Latvia,56.8796,24.6032,864.0
nan,Lebanon,33.8547,35.8623,733.0
nan,Liberia,6.4281,-9.4295,171.0
nan,Liechtenstein,47.14,9.55,85.0
nan,Lithuania,55.1694,23.8813,1629.0
nan,Luxembourg,49.8153,6.1296,4386.0
nan,Madagascar,-18.7669,46.8691,121.0
nan,Malaysia,2.5,112.5,6085.0
nan,Maldives,3.2028,73.2207,197.0
nan,Malta,35.9375,14.3754,485.0
nan,Mauritania,21.0079,10.9408,7.0
nan,Mauritius,-20.2,57.5,332.0
nan,Mexico,23.6345,-102.5528,24799.0
nan,Moldova,47.4116,28.3699,3939.0
nan,Monaco,43.7333,7.4167,98.0
nan,Mongolia,46.8625,103.8467,45.0
nan,Montenegro,42.5,19.3,341.0
nan,Morocco,31.7917,-7.0926,5659.0
nan,Namibia,-22.9576,18.4904,16.0
nan,Nepal,28.1667,84.25,119.0
Aruba,Netherlands,12.5186,-70.0358,102.0
Curacao,Netherlands,12.1696,-68.99,14.0
Sint Maarten,Netherlands,18.0425,-63.0548,82.0
nan,Netherlands,52.1326,5.2913,42485.0
nan,New Zealand,-40.9006,174.886,1469.0
nan,Nicaragua,12.8654,-85.2072,-26.0
nan,Niger,17.6078,8.0817,674.0
nan,Nigeria,9.082,8.6753,2149.0
nan,North Macedonia,41.6086,21.7453,1573.0
nan,Norway,60.472,8.4689,8052.0
nan,Oman,21.0,57.0,2234.0
nan,Pakistan,30.3753,69.3451,16512.0
nan,Panama,8.538,-80.7821,7323.0
nan,Papua New Guinea,-6.315,143.9555,11.0
nan,Paraguay,-23.4425,-58.4438,217.0
nan,Peru,-9.19,-75.0152,38175.0
nan,Philippines,13.0,122.0,9200.0
nan,Poland,51.9194,19.1451,13675.0
nan,Portugal,39.3999,-8.2245,27016.0
nan,Qatar,25.3548,51.1839,14908.0
nan,Romania,45.9432,24.9668,13674.0
nan,Russia,60.0,90.0,134403.0
nan,Rwanda,-1.9403,29.8739,209.0
nan,Saint Lucia,13.9094,-60.9789,15.0
nan,Saint Vincent and the Grenadines,12.9843,-61.2872,1.0
nan,San Marino,43.9424,12.4578,557.0
nan,Saudi Arabia,24.0,45.0,29115.0
nan,Senegal,14.4974,-14.4524,912.0
nan,Serbia,44.0165,21.0059,3088.0
nan,Seychelles,-4.6796,55.492,11.0
nan,Singapore,1.2833,103.8333,33768.0
nan,Slovakia,48.669,19.699,1999.0
nan,Slovenia,46.1512,14.9955,1483.0
nan,Somalia,5.1521,46.1996,1684.0
nan,South Africa,-30.5595,22.9375,6028.0
nan,Spain,40.0,-4.0,255134.0
nan,Sri Lanka,7.0,81.0,137.0
nan,Sudan,12.8628,30.2176,214.0
nan,Suriname,3.9193,-56.0278,10.0
nan,Sweden,63.0,16.0,24385.0
nan,Switzerland,46.8182,8.2275,31278.0
nan,Taiwan*,23.7,121.0,396.0
nan,Tanzania,-6.369,34.8888,424.0
nan,Thailand,15.0,101.0,2913.0
nan,Togo,8.6195,0.8248,107.0
nan,Trinidad and Tobago,10.6918,-61.2225,125.0
nan,Tunisia,34.0,9.0,992.0
nan,Turkey,38.9637,35.2433,142692.0
nan,Uganda,1.0,32.0,64.0
nan,Ukraine,48.3794,31.1656,13288.0
nan,United Arab Emirates,24.0,54.0,13483.0
Bermuda,United Kingdom,32.3078,-64.7505,113.0
Cayman Islands,United Kingdom,19.3133,-81.2546,68.0
Channel Islands,United Kingdom,49.3723,-2.3644,605.0
Gibraltar,United Kingdom,36.1408,-5.3536,137.0
Isle of Man,United Kingdom,54.2361,-4.5481,328.0
Montserrat,United Kingdom,16.7425,-62.1874,13.0
nan,United Kingdom,55.3781,-3.4360000000000004,151308.0
nan,Uruguay,-32.5228,-55.7658,546.0
nan,US,37.0902,-95.7129,1104140.0
nan,Uzbekistan,41.3775,64.5853,1767.0
nan,Venezuela,6.4238,-66.5897,284.0
nan,Vietnam,16.0,108.0,263.0
nan,Zambia,-15.4167,28.2833,80.0
nan,Zimbabwe,-20.0,30.0,6.0
Diamond Princess,Canada,0.0,0.0,-1.0
nan,Dominica,15.415,-61.371,16.0
nan,Grenada,12.1165,-61.678999999999995,15.0
nan,Mozambique,-18.665695,35.529562,87.0
nan,Syria,34.802075,38.99681500000001,49.0
nan,Timor-Leste,-8.874217,125.727539,32.0
nan,Belize,13.1939,-59.5432,18.0
Recovered,Canada,0.0,0.0,-0.0
nan,Laos,19.856270000000002,102.495496,19.0
nan,Libya,26.3351,17.228331,50.0
nan,West Bank and Gaza,31.9522,35.2332,624.0
nan,Guinea-Bissau,11.8037,-15.1804,50.0
nan,Mali,17.570692,-3.996166000000001,510.0
nan,Saint Kitts and Nevis,17.357822,-62.782998,14.0
Northwest Territories,Canada,64.8255,-124.8457,5.0
Yukon,Canada,64.2823,-135.0,11.0
nan,Kosovo,42.602636,20.902977,506.0
nan,Burma,21.9162,95.956,194.0
Anguilla,United Kingdom,18.2206,-63.0686,3.0
British Virgin Islands,United Kingdom,18.4207,-64.64,5.0
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,11.0
nan,MS Zaandam,0.0,0.0,9.0
nan,Botswana,-22.3285,24.6849,28.0
nan,Burundi,-3.3731,29.9189,11.0
nan,Sierra Leone,8.460555000000001,-11.779889,54.0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,5.0
nan,Malawi,-13.254307999999998,34.301525,39.0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,12.0
Saint Pierre and Miquelon,France,46.8852,-56.3159,1.0
nan,South Sudan,6.8770000000000024,31.307,5.0
nan,Western Sahara,24.2155,-12.8858,6.0
nan,Sao Tome and Principe,0.18636,6.613081,4.0
nan,Yemen,15.552726999999999,48.516388,1.0
