,Province/State,Country/Region,5/1/20
206,,Switzerland,29189
207,,Taiwan*,429
208,,Tanzania,502
209,,Thailand,2850
210,,Togo,91
211,,Trinidad and Tobago,168
212,,Tunisia,948
213,,Turkey,114819
214,,Uganda,87
215,,Ukraine,6843
216,,United Arab Emirates,11287
217,Bermuda,United Kingdom,118
218,Cayman Islands,United Kingdom,91
219,Channel Islands,United Kingdom,528
220,Gibraltar,United Kingdom,195
221,Isle of Man,United Kingdom,436
222,Montserrat,United Kingdom,11
223,,United Kingdom,160600
224,,Uruguay,622
225,,US,998428
226,,Uzbekistan,1862
227,,Venezuela,323
228,,Vietnam,370
229,,Zambia,86
230,,Zimbabwe,32
231,Diamond Princess,Canada,0
232,,Dominica,16
233,,Grenada,15
234,,Mozambique,37
235,,Syria,54
236,,Timor-Leste,22
237,,Belize,18
238,Recovered,Canada,0
239,,Laos,19
240,,Libya,72
241,,West Bank and Gaza,580
242,,Guinea-Bissau,48
243,,Mali,398
244,,Saint Kitts and Nevis,15
245,Northwest Territories,Canada,5
246,Yukon,Canada,12
247,,Kosovo,690
248,,Burma,186
249,Anguilla,United Kingdom,3
250,British Virgin Islands,United Kingdom,6
251,Turks and Caicos Islands,United Kingdom,11
252,,MS Zaandam,9
253,,Botswana,23
254,,Burundi,8
255,,Sierra Leone,95
256,"Bonaire, Sint Eustatius and Saba",Netherlands,6
257,,Malawi,49
258,Falkland Islands (Malvinas),United Kingdom,12
259,Saint Pierre and Miquelon,France,1
260,,South Sudan,5
261,,Western Sahara,6
262,,Sao Tome and Principe,4
263,,Yemen,1
