Province/State,Country/Region,Lat,Long,5/1/20
New Caledonia,France,-20.9043,165.618,18
Reunion,France,-21.1351,55.2471,424
Saint Barthelemy,France,17.9,-62.8333,5
St Martin,France,18.0708,-63.0501,35
Martinique,France,14.6415,-61.0242,196
,France,46.2276,2.2137,96043
,Gabon,-0.8037,11.6094,307
,Gambia,13.4432,-15.3101,22
,Georgia,42.3154,43.3569,455
,Germany,51,9,166085
,Ghana,7.9465,-1.0232,3095
,Greece,39.0742,21.8243,3468
,Guatemala,15.7835,-90.2308,580
,Guinea,9.9456,-9.6966,2158
,Guyana,5,-58.75,70
,Haiti,18.9712,-72.2852,123
,Holy See,41.9029,12.4534,5
,Honduras,15.2,-86.2419,663
,Hungary,47.1625,19.5033,2376
,Iceland,64.9631,-19.0208,2031
,India,21,78,33134
,Indonesia,-0.7893,113.9213,7620
,Iran,32,53,85455
,Iraq,33,44,1707
,Ireland,53.1424,-7.6921,10305
,Israel,31,35,16055
,Italy,43,12,217742
,Jamaica,18.1096,-77.2975,526
,Japan,36,138,16178
,Jordan,31.24,36.51,485
,Kazakhstan,48.0196,66.9237,3954
,Kenya,-0.0236,37.9062,418
,"Korea, South",36,128,10984
,Kuwait,29.5,47.75,4250
,Kyrgyzstan,41.2044,74.7661,619
,Latvia,56.8796,24.6032,974
,Lebanon,33.8547,35.8623,678
,Liberia,6.4281,-9.4295,447
,Liechtenstein,47.14,9.55,83
,Lithuania,55.1694,23.8813,1576
,Luxembourg,49.8153,6.1296,4049
,Madagascar,-18.7669,46.8691,101
,Malaysia,2.5,112.5,6264
,Maldives,3.2028,73.2207,152
,Malta,35.9375,14.3754,454
,Mauritania,21.0079,10.9408,7
,Mauritius,-20.2,57.5,389
,Mexico,23.6345,-102.5528,14172
,Moldova,47.4116,28.3699,2803
,Monaco,43.7333,7.4167,84
,Mongolia,46.8625,103.8467,28
,Montenegro,42.5,19.3,382
,Morocco,31.7917,-7.0926,5556
,Namibia,-22.9576,18.4904,18
,Nepal,28.1667,84.25,97
Aruba,Netherlands,12.5186,-70.0358,103
Curacao,Netherlands,12.1696,-68.99,11
Sint Maarten,Netherlands,18.0425,-63.0548,82
,Netherlands,52.1326,5.2913,38448
,New Zealand,-40.9006,174.886,1492
,Nicaragua,12.8654,-85.2072,8
,Niger,17.6078,8.0817,688
,Nigeria,9.082,8.6753,2480
,North Macedonia,41.6086,21.7453,1001
,Norway,60.472,8.4689,8793
,Oman,21,57,2708
,Pakistan,30.3753,69.3451,17914
,Panama,8.538,-80.7821,5474
,Papua New Guinea,-6.315,143.9555,12
,Paraguay,-23.4425,-58.4438,212
,Peru,-9.19,-75.0152,59397
,Philippines,13,122,6935
,Poland,51.9194,19.1451,12094
,Portugal,39.3999,-8.2245,27550
,Qatar,25.3548,51.1839,15938
,Romania,45.9432,24.9668,10246
,Russia,60,90,124898
,Rwanda,-1.9403,29.8739,167
,Saint Lucia,13.9094,-60.9789,4
,Saint Vincent and the Grenadines,12.9843,-61.2872,98
,San Marino,43.9424,12.4578,434
,Saudi Arabia,24,45,20343
,Senegal,14.4974,-14.4524,768
,Serbia,44.0165,21.0059,449
,Seychelles,-4.6796,55.492,11
,Singapore,1.2833,103.8333,35309
,Slovakia,48.669,19.699,1415
,Slovenia,46.1512,14.9955,1364
,Somalia,5.1521,46.1996,1883
,South Africa,-30.5595,22.9375,5045
,Spain,40,-4,251071
,Sri Lanka,7,81,743
,Sudan,12.8628,30.2176,641
,Suriname,3.9193,-56.0278,9
,Sweden,63,16,18944
,Switzerland,46.8182,8.2275,30340
,Taiwan*,23.7,121,987
,Tanzania,-6.369,34.8888,618
,Thailand,15,101,5837
,Togo,8.6195,0.8248,50
,Trinidad and Tobago,10.6918,-61.2225,126
,Tunisia,34,9,740
,Turkey,38.9637,35.2433,119065
,Uganda,1,32,137
,Ukraine,48.3794,31.1656,7122
,United Arab Emirates,24,54,16627
Bermuda,United Kingdom,32.3078,-64.7505,111
Cayman Islands,United Kingdom,19.3133,-81.2546,2
Channel Islands,United Kingdom,49.3723,-2.3644,495
Gibraltar,United Kingdom,36.1408,-5.3536,120
Isle of Man,United Kingdom,54.2361,-4.5481,280
Montserrat,United Kingdom,16.7425,-62.1874,3
,United Kingdom,55.3781,-3.436,152916
,Uruguay,-32.5228,-55.7658,641
,US,37.0902,-95.7129,981778
,Uzbekistan,41.3775,64.5853,-200
,Venezuela,6.4238,-66.5897,416
,Vietnam,16,108,413
,Zambia,-15.4167,28.2833,121
,Zimbabwe,-20,30,31
Diamond Princess,Canada,0,0,-1
,Dominica,15.415,-61.371,15
,Grenada,12.1165,-61.679,20
,Mozambique,-18.665695,35.529562,66
,Syria,34.802075,38.996815,46
,Timor-Leste,-8.874217,125.727539,31
,Belize,13.1939,-59.5432,23
Recovered,Canada,0,0,0
,Laos,19.85627,102.495496,16
,Libya,26.3351,17.228331,87
,West Bank and Gaza,31.9522,35.2332,577
,Guinea-Bissau,11.8037,-15.1804,67
,Mali,17.570692,-3.996166,630
,Saint Kitts and Nevis,17.357822,-62.782998,14
Northwest Territories,Canada,64.8255,-124.8457,7
Yukon,Canada,64.2823,-135,13
,Kosovo,42.602636,20.902977,844
,Burma,21.9162,95.956,315
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,6
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,10
,MS Zaandam,0,0,9
,Botswana,-22.3285,24.6849,33
,Burundi,-3.3731,29.9189,21
,Sierra Leone,8.460555,-11.779889,159
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,8
,Malawi,-13.254308,34.301525,48
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,4
Saint Pierre and Miquelon,France,46.8852,-56.3159,1
,South Sudan,6.877,31.307,4
,Western Sahara,24.2155,-12.8858,6
,Sao Tome and Principe,0.18636,6.613081,3
,Yemen,15.552727,48.516388,0
,,,,
,,,,_
