Province/State,Country/Region,Lat,Long,5/1/20
,Guyana,5,-58.75,18
,Haiti,18.9712,-72.2852,9
,Holy See,41.9029,12.4534,0
,Honduras,15.2,-86.2419,37
,Hungary,47.1625,19.5033,384
,Iceland,64.9631,-19.0208,17
,India,21,78,957
,Indonesia,-0.7893,113.9213,578
,Iran,32,53,6002
,Iraq,33,44,75
,Ireland,53.1424,-7.6921,828
,Israel,31,35,168
,Italy,43,12,30023
,Jamaica,18.1096,-77.2975,4
,Japan,36,138,569
,Jordan,31.24,36.51,7
,Kazakhstan,48.0196,66.9237,17
,Kenya,-0.0236,37.9062,18
,"Korea, South",36,128,228
,Kuwait,29.5,47.75,65
,Kyrgyzstan,41.2044,74.7661,13
,Latvia,56.8796,24.6032,50
,Lebanon,33.8547,35.8623,7
,Liberia,6.4281,-9.4295,6
,Liechtenstein,47.14,9.55,1
,Lithuania,55.1694,23.8813,41
,Luxembourg,49.8153,6.1296,61
,Madagascar,-18.7669,46.8691,0
,Malaysia,2.5,112.5,106
,Maldives,3.2028,73.2207,0
,Malta,35.9375,14.3754,3
,Mauritania,21.0079,10.9408,1
,Mauritius,-20.2,57.5,9
,Mexico,23.6345,-102.5528,1859
,Moldova,47.4116,28.3699,7
,Monaco,43.7333,7.4167,3
,Mongolia,46.8625,103.8467,0
,Montenegro,42.5,19.3,5
,Morocco,31.7917,-7.0926,131
,Namibia,-22.9576,18.4904,0
,Nepal,28.1667,84.25,0
Aruba,Netherlands,12.5186,-70.0358,2
Curacao,Netherlands,12.1696,-68.99,0
Sint Maarten,Netherlands,18.0425,-63.0548,17
,Netherlands,52.1326,5.2913,4564
,New Zealand,-40.9006,174.886,84
,Nicaragua,12.8654,-85.2072,2
,Niger,17.6078,8.0817,26
,Nigeria,9.082,8.6753,67
,North Macedonia,41.6086,21.7453,56
,Norway,60.472,8.4689,202
,Oman,21,57,13
,Pakistan,30.3753,69.3451,438
,Panama,8.538,-80.7821,204
,Papua New Guinea,-6.315,143.9555,0
,Paraguay,-23.4425,-58.4438,14
,Peru,-9.19,-75.0152,1141
,Philippines,13,122,369
,Poland,51.9194,19.1451,622
,Portugal,39.3999,-8.2245,934
,Qatar,25.3548,51.1839,21
,Romania,45.9432,24.9668,1037
,Russia,60,90,1315
,Rwanda,-1.9403,29.8739,0
,Saint Lucia,13.9094,-60.9789,0
,Saint Vincent and the Grenadines,12.9843,-61.2872,0
,San Marino,43.9424,12.4578,41
,Saudi Arabia,24,45,131
,Senegal,14.4974,-14.4524,10
,Serbia,44.0165,21.0059,124
,Seychelles,-4.6796,55.492,0
,Singapore,1.2833,103.8333,15
,Slovakia,48.669,19.699,51
,Slovenia,46.1512,14.9955,59
,Somalia,5.1521,46.1996,-17
,South Africa,-30.5595,22.9375,84
,Spain,40,-4,25149
,Sri Lanka,7,81,7
,Sudan,12.8628,30.2176,27
,Suriname,3.9193,-56.0278,1
,Sweden,63,16,3396
,Switzerland,46.8182,8.2275,1645
,Taiwan*,23.7,121,8
,Tanzania,-6.369,34.8888,32
,Thailand,15,101,121
,Togo,8.6195,0.8248,6
,Trinidad and Tobago,10.6918,-61.2225,8
,Tunisia,34,9,22
,Turkey,38.9637,35.2433,2887
,Uganda,1,32,0
,Ukraine,48.3794,31.1656,282
,United Arab Emirates,24,54,103
Bermuda,United Kingdom,32.3078,-64.7505,5
Cayman Islands,United Kingdom,19.3133,-81.2546,0
Channel Islands,United Kingdom,49.3723,-2.3644,56
Gibraltar,United Kingdom,36.1408,-5.3536,0
Isle of Man,United Kingdom,54.2361,-4.5481,50
Montserrat,United Kingdom,16.7425,-62.1874,0
,United Kingdom,55.3781,-3.436,18378
,Uruguay,-32.5228,-55.7658,23
,US,37.0902,-95.7129,12493
,Uzbekistan,41.3775,64.5853,10
,Venezuela,6.4238,-66.5897,12
,Vietnam,16,108,0
,Zambia,-15.4167,28.2833,4
,Zimbabwe,-20,30,6
Diamond Princess,Canada,0,0,1
,Dominica,15.415,-61.371,0
,Grenada,12.1165,-61.679,0
,Mozambique,-18.665695,35.529562,0
,Syria,34.802075,38.996815,3
,Timor-Leste,-8.874217,125.727539,0
,Belize,13.1939,-59.5432,2
Recovered,Canada,0,0,0
,Laos,19.85627,102.495496,0
,Libya,26.3351,17.228331,1
,West Bank and Gaza,31.9522,35.2332,6
,Guinea-Bissau,11.8037,-15.1804,0
,Mali,17.570692,-3.996166,29
,Saint Kitts and Nevis,17.357822,-62.782998,0
Northwest Territories,Canada,64.8255,-124.8457,0
Yukon,Canada,64.2823,-135,0
,Kosovo,42.602636,20.902977,16
,Burma,21.9162,95.956,1
Anguilla,United Kingdom,18.2206,-63.0686,0
British Virgin Islands,United Kingdom,18.4207,-64.64,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,1
,MS Zaandam,0,0,1
,Botswana,-22.3285,24.6849,1
,Burundi,-3.3731,29.9189,0
,Sierra Leone,8.460555,-11.779889,0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0
,Malawi,-13.254308,34.301525,7
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,0
,South Sudan,6.877,31.307,0
,Western Sahara,24.2155,-12.8858,0
,Sao Tome and Principe,0.18636,6.613081,0
,Yemen,15.552727,48.516388,0
