Province/State,Country/Region,Lat,Long,5/1/20
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,257
Shandong,China,36.3427,118.1498,761
Shanghai,China,31.202,121.4491,630
Shanxi,China,37.5777,112.2922,122
Sichuan,China,30.6171,102.7103,558
Tianjin,China,39.3054,117.323,193
Tibet,China,31.6927,88.0924,0
Xinjiang,China,41.1129,85.2401,73
Yunnan,China,24.974,101.487,181
Zhejiang,China,29.1832,120.0934,1261
,Colombia,4.5709,-74.2973,1115
,Congo (Brazzaville),-4.0383,21.7587,24
,Congo (Kinshasa),-4.0383,21.7587,53
,Costa Rica,9.7489,-83.7534,738
,Cote d'Ivoire,7.54,-5.5471,732
,Croatia,45.1,15.2,1411
,Diamond Princess,0,0,665
,Cuba,22,-80,1381
,Cyprus,35.1264,33.4299,157
,Czechia,49.8175,15.473,4414
Faroe Islands,Denmark,61.8926,-6.9118,165
Greenland,Denmark,71.7069,-42.6043,-4
,Denmark,56.2639,9.5018,247802
,Djibouti,11.8251,42.5903,626
,Dominica,15.415,-61.371,18
,Dominican Republic,18.7357,-70.1627,1961
,Ecuador,-1.8312,-78.1834,-13
,Egypt,26,30,1832
,El Salvador,13.7942,-88.8965,267
,Equatorial Guinea,1.5,10,15
,Eritrea,15.1794,39.7823,33
,Estonia,58.5953,25.0136,225
,Eswatini,-26.5225,31.4659,8
,Ethiopia,9.145,40.4897,56
,Fiji,-17.7134,178.065,1328
,Finland,64,26,7442
French Guiana,France,3.9339,-53.1258,31
French Polynesia,France,-17.6797,149.4068,-32354
Guadeloupe,France,16.25,-61.5833,39
Martinique,France,14.6415,-61.0242,84
Mayotte,France,-12.8275,45.1662,73
New Caledonia,France,-20.9043,165.618,32
Reunion,France,-21.1351,55.2471,1147
Saint Barthelemy,France,17.9,-62.8333,16
St Martin,France,18.0708,-63.0501,39
,France,46.2276,2.2137,490120
,Gabon,-0.8037,11.6094,152
,Gambia,13.4432,-15.3101,1
,Georgia,42.3154,43.3569,171
,Germany,51,9,318165
,Ghana,7.9465,-1.0232,58
,Grenada,12.1165,-61.679,5
,Greece,39.0742,21.8243,-105
,Guatemala,15.7835,-90.2308,33
,Guinea,9.9456,-9.6966,1680
,Guinea-Bissau,11.8037,-15.1804,2
,Guyana,5,-58.75,9
,Haiti,18.9712,-72.2852,2
,Holy See,41.9029,12.4534,2
,Honduras,15.2,-86.2419,82
,Hungary,47.1625,19.5033,503
,Iceland,64.9631,-19.0208,1179
,India,21,78,17293
,Indonesia,-0.7893,113.9213,1543
,Iran,32,53,76479
,Iraq,33,44,1193
,Ireland,53.1424,-7.6921,-417223
,Israel,31,35,10596
,Italy,43,12,79949
,Jamaica,18.1096,-77.2975,76
,Japan,36,138,2142
,Jordan,31.24,36.51,422
,Kazakhstan,48.0196,66.9237,1549
,Kenya,-0.0236,37.9062,206
,"Korea, South",36,128,9195
,Kuwait,29.5,47.75,911
,Kyrgyzstan,41.2044,74.7661,1002
,Latvia,56.8796,24.6032,581
,Lebanon,33.8547,35.8623,163
,Liberia,6.4281,-9.4295,39
,Libya,26.3351,17.228331,12
,Liechtenstein,47.14,9.55,54
,Lithuania,55.1694,23.8813,2536
,Luxembourg,49.8153,6.1296,1565
,Madagascar,-18.7669,46.8691,134
,Malaysia,2.5,112.5,3079
,Maldives,3.2028,73.2207,17
,Mali,17.570692,-3.996166,194
,Malta,35.9375,14.3754,485
,Mauritania,21.0079,10.9408,9
,Mauritius,-20.2,57.5,1090
,Mexico,23.6345,-102.5528,46740
,Moldova,47.4116,28.3699,2395
,Monaco,43.7333,7.4167,87
,Mongolia,46.8625,103.8467,11
,Montenegro,42.5,19.3,1033
,Morocco,31.7917,-7.0926,543
,Mozambique,-18.6657,35.5296,20
,Namibia,-22.9576,18.4904,9
,Nepal,28.1667,84.25,18
Aruba,Netherlands,12.5186,-70.0358,556
Curacao,Netherlands,12.1696,-68.99,12
Sint Maarten,Netherlands,18.0425,-63.0548,40
,Netherlands,52.1326,5.2913,-201
,New Zealand,-40.9006,174.886,426
,Nicaragua,12.8654,-85.2072,12
,Niger,17.6078,8.0817,712
,Nigeria,9.082,8.6753,332
,North Macedonia,41.6086,21.7453,645
,Norway,60.472,8.4689,47
,Oman,21,57,451
,Pakistan,30.3753,69.3451,4084
,Panama,8.538,-80.7821,705
,Papua New Guinea,-6.315,143.9555,0
,Paraguay,-23.4425,-58.4438,185
,Peru,-9.19,-75.0152,24721
,Philippines,13,122,1460
,Poland,51.9194,19.1451,6831
,Portugal,39.3999,-8.2245,2392
,Qatar,25.3548,51.1839,1078
,Romania,45.9432,24.9668,4772
,Russia,60,90,9849
,Rwanda,-1.9403,29.8739,39
,Saint Kitts and Nevis,17.357822,-62.782998,0
,Saint Lucia,13.9094,-60.9789,61
,Saint Vincent and the Grenadines,12.9843,-61.2872,5
,San Marino,43.9424,12.4578,48
,Saudi Arabia,24,45,3391
,Senegal,14.4974,-14.4524,329
,Serbia,44.0165,21.0059,-1006
,Seychelles,-4.6796,55.492,4
,Singapore,1.2833,103.8333,1457
,Slovakia,48.669,19.699,1369
,Slovenia,46.1512,14.9955,383
,Somalia,5.1521,46.1996,6
,South Africa,-30.5595,22.9375,7390
,Spain,40,-4,117958
,Sri Lanka,7,81,168
,Sudan,12.8628,30.2176,26
,Suriname,3.9193,-56.0278,6
,Sweden,63,16,648
,Switzerland,46.8182,8.2275,39134
,Syria,34.8021,38.9968,9
,Taiwan*,23.7,121,391
,Tanzania,-6.369,34.8888,12
,Thailand,15,101,4174
,Timor-Leste,-8.8742,125.7275,0
,Togo,8.6195,0.8248,63
,Trinidad and Tobago,10.6918,-61.2225,119
,Tunisia,34,9,534
,Turkey,38.9637,35.2433,30572
,Uganda,1,32,133
,Ukraine,48.3794,31.1656,1503
,United Arab Emirates,24,54,2705
Bermuda,United Kingdom,32.3078,-64.7505,50
Cayman Islands,United Kingdom,19.3133,-81.2546,7
Channel Islands,United Kingdom,49.3723,-2.3644,609
Gibraltar,United Kingdom,36.1408,-5.3536,162
Isle of Man,United Kingdom,54.2361,-4.5481,278
Montserrat,United Kingdom,16.7425,-62.1874,3
,United Kingdom,55.3781,-3.436,-132
,Uruguay,-32.5228,-55.7658,383
,US,37.0902,-95.7129,53319
,Uzbekistan,41.3775,64.5853,1719
,Venezuela,6.4238,-66.5897,146
,Vietnam,16,108,178
,Zambia,-15.4167,28.2833,36
,Zimbabwe,-20,30,2
,West Bank and Gaza,31.9522,35.2332,134
,Laos,19.85627,102.495496,20
,Kosovo,42.602636,20.902977,6
,Burma,21.9162,95.956,21
Anguilla,United Kingdom,18.2206,-63.0686,0
British Virgin Islands,United Kingdom,18.4207,-64.64,4
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,0
,MS Zaandam,0,0,0
,Botswana,-22.3285,24.6849,0
,Burundi,-3.3731,29.9189,4
,Sierra Leone,8.460555,-11.779889,6
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0
,Malawi,-13.254308,34.301525,3
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,7
Saint Pierre and Miquelon,France,46.8852,-56.3159,0
,South Sudan,6.877,31.307,0
,Western Sahara,24.2155,-12.8858,0
,Sao Tome and Principe,0.18636,6.613081,0
,Yemen,15.552727,48.516388,0
